,Stakeholder Group,Faculty,School,Department or Division,Institute/Building/Affilitation
STK-016,Academic Research Support,FBMH,Unknown,Unknown,CRUK Manchester Institute
STK-020,Technical Support,FBMH,Faculty Office,Administration,Unknown
STK-014,Safety Services & Regulatory Compliance,FBMH,Faculty Office,Administration,Unknown
STK-010,Early Career Researchers,FHUMS,Social Sciences,Unknown,Cathie Marsh Institute
STK-002,Experienced Academics,FBMH,Biological Sciences,"Infection, Immunity and Respiratory Medicine",Lydia Becker Institute
STK-048,Experienced Academics,FHUMS,Alliance Manchester Business School,Unknown,Unknown
STK-045,Technical Support,FSE,Natural Sciences,Chemistry,Unknown
STK-001,Experienced Academics,FSE,Natural Sciences,Materials,Henry Royce Institute
STK-042,Heads of School Operations,FSE,Faculty Office,Research Institutes,Manchester Institute of Biotechnology
STK-011,Early Career Researchers,FBMH,Biological Sciences,"Infection, Immunity and Respiratory Medicine",Unknown
STK-013,Academic Research Support,FSE,Natural Sciences,Materials,Henry Royce Institute
STK-037,Technical Support,FBMH,Unknown,Unknown,CRUK Manchester Institute
STK-024,Technical Support,FSE,Faculty Office,Technical,Unknown
1,PGRs,FHUMS,Alliance Manchester Business School,,Institute for Data Science and AI
2,PGRs,FHUMS,"Arts, Languages and Cultures",,
3,PGRs,FHUMS,"Environment, Education and Development",,
4,PGRs,FHUMS,Alliance Manchester Business School,,
5,PGRs,FSE,Natural Sciences,Mathematics,
6,PGRs,FSE,Natural Sciences,Chemistry,
7,Unknown,Unknown,,,
8,Unknown,Unknown,,,
9,Academic Research Support,FBMH,Faculty Office,Research & Business Engagement,
10,Unknown,Unknown,,,
11,Early Career Researchers,FSE,Natural Sciences,Materials,
12,Unknown,Unknown,,,
13,Early Career Researchers,FBMH,Biological Sciences,Evolution and Genomic Sciences,
14,Early Career Researchers,FSE,Natural Sciences,Chemistry,
15,Early Career Researchers,FSE,Natural Sciences,Earth and Environmental Sciences,
16,Early Career Researchers,FSE,Natural Sciences,Materials,Henry Royce Institute
17,Technical Support,FSE,Natural Sciences,Physics and Astronomy,
18,Technical Support,FSE,Natural Sciences,Chemistry,Manchester Institute of Biotechnology
19,Technical Support,FSE,Natural Sciences,Earth and Environmental Sciences,
20,Technical Support,FBMH,Biological Sciences,"Infection, Immunity and Respiratory Medicine",
21,Technical Support,FSE,Faculty Office,Technical,
22,Technical Support,FSE,Engineering,,
23,Academic Research Support,FSE,Engineering,Chemical Engineering,Henry Royce Institute
24,Technical Support,FBMH,Biological Sciences,"Infection, Immunity and Respiratory Medicine",
25,Technical Support,FSE,Faculty Office,Technical,
26,Unknow,PS,Other,,
27,Technical Support,FSE,Natural Sciences,Materials,
28,Academic Research Support,FHUMS,"Arts, Languages and Cultures",,
29,Academic Research Support,FHUMS,"Arts, Languages and Cultures",,Humanitarian and Conflict Response Institute
30,Early Career Researchers,FSE,Engineering,"Mechanical, Aerospace and Civil Engineering",Manchester Environmental Research Institute
31,Technical Support,FSE,Natural Sciences,Earth and Environmental Sciences,
